,Coloso,Angamos,Mejillones,Antofagasta (ATI),Iquique,Patache,Barquito,Caldera,Coquimbo,Los Vilos,Ventanas,San Antonio,San Vicente
Andina,1044.1842509345267,1117.5158264286824,1117.5623309482505,1056.336727767741,1438.787983339054,1373.150254335437,678.2957416901426,678.1388742487711,369.48676143278936,181.23034908329268,123.97823446686678,135.99814423471258,476.676178539727
Antucoya,137.56171083970486,75.27316656343642,77.54807741147883,124.32627304498212,271.3918996951278,207.31960390551217,502.1784896697602,501.79471332848465,827.1678523544506,1043.4149448807427,1134.3279380613467,1229.5975255245876,1597.7358130808648
Candelaria,418.06311909826957,491.31900315068776,491.4077691096359,430.1296348520467,812.6275591651232,746.9309938769604,73.57649715078597,72.13169043886862,290.60429361031,502.4514691084206,592.0921153126626,687.1507005341842,1058.5894673773314
Carmen de Andacollo,724.5170855799033,797.9029475929922,797.656632951685,737.1526517027745,1120.4618317815055,1054.4814730523635,354.5082749362618,354.6531896119112,40.2266737140276,188.66746751002486,279.33286967179754,374.6177889400246,744.6692794639148
Caserones,498.2746942096423,570.1568533251946,570.6288994666764,509.4468258348822,886.8153114672913,821.9325619978316,176.72322231705834,175.3015420563815,265.8990326909637,457.40038200977943,541.7963522334384,634.8692356921274,1009.8330233362442
Centinela,164.4281873310569,138.08310854311253,141.1404982000689,153.9356130820692,328.24487142560696,270.40939904321806,487.4299195715291,486.6993307171495,807.5475941092329,1020.636098662605,1109.921337908066,1204.7792282856674,1576.7905527240212
Cerro Negro,981.3252098107286,1054.7773995734012,1054.661840564381,993.7557583587663,1377.0484029996203,1311.172487411191,612.463848204475,612.4720406122806,294.85375239949946,96.37766529065826,61.93541649352841,133.10070131154438,506.2884353201396
Chuquicamata,227.32120947179547,179.95786403344124,182.63930089764312,215.1062585416788,266.3091101177922,215.86202130843887,565.5998716745069,564.9016755786023,886.2243117754946,1099.3565894989122,1188.606166987859,1283.4424208643836,1655.5142408044776
Collahuasi,358.1897867301584,295.3841749078738,297.2467295622323,345.0695182490608,172.8690975327795,158.76733756545642,711.8003057678787,711.1845040742563,1033.9183266877617,1247.6705947042792,1337.1423937908226,1432.04493096341,1803.739769132719
Distrito Michilla,122.93998026668723,52.57900852794339,54.09584105912122,109.89434151265935,275.0003190929052,209.42497348117408,492.3584229280807,492.0890486855211,817.5335821292759,1034.3707426060528,1125.6860061112343,1220.9714016157736,1587.5070283782834
El Abra,262.8651908031927,208.90132273120196,211.3132562701886,250.20841843376715,234.4527543101546,190.3154476850074,607.1059756046589,606.4331323811545,928.2052541325181,1141.5112154542169,1230.817797300546,1325.6704358689567,1697.6509490062483
El Soldado,986.5296822795707,1059.9642198364543,1059.7754393513771,999.072941814698,1382.451322368006,1316.5083895571854,616.8670644927919,616.9568006107606,295.64226754752406,85.92632014901265,36.75009544823591,118.01047598474577,493.1088661755972
El Teniente,1148.9174209990877,1222.2806997267246,1222.3032609076583,1161.1130361896408,1543.7190595153359,1478.0484593828753,782.2844173780887,782.16943486501,469.24860722997033,266.10140232378575,184.47663569247075,130.89847625230163,387.34186637173593
Escondida,152.53827147263223,190.5351713489019,192.7699466443851,153.04911973444547,465.76183547081865,404.4036368985763,358.4315426018033,357.4374528918204,671.5548054160201,882.2974316322087,970.6987330337053,1065.2416199541185,1438.3992071143248
Franke,237.54406722111497,308.62312379301983,309.1910030218353,248.26552505272585,625.488644907133,560.3785033708596,168.76813706091258,167.62976623594787,481.9839312493419,694.8796838611984,784.4440477313314,879.4400391686199,1250.9938111628455
Gabriela Mistral,171.29311906196497,168.1314504945464,171.12880742668108,164.03260017939107,382.5494355495811,325.28129365028445,454.44875930945955,453.5496001561127,769.8496299633815,980.8442358774612,1069.2279220094138,1163.7419261450502,1536.9484565846371
Las Luces,215.54583511623886,288.9868872635679,288.92196206767943,227.93366884756873,611.26403413294,545.3615244128786,156.36012543637872,155.9356714469943,481.28950780719686,697.7600674992665,788.9397113757017,884.2268144289459,1251.8514826716685
Lomas Bayas,102.81815916411261,100.26502939830301,103.12179227351461,94.23394367463794,364.2550963614069,301.6306976074841,426.255957413819,425.6280013251009,748.6792767797729,963.1668492320599,1053.161200729174,1148.249448950529,1518.9503893119966
Los Bronces,1044.3556107377715,1117.698240522424,1117.736773232001,1056.5226203638715,1439.0355887686871,1373.3835400666574,678.2765597094034,678.1281346468504,368.88600506660737,179.52594837736822,121.37421891178862,133.23418051557655,474.9414102322206
Los Pelambres,884.5687483092437,957.9759268036735,957.9564631170368,896.8399045366547,1279.7705940577027,1214.0098046993012,517.5547811838123,517.4348394778967,211.38279006627684,97.95978713382036,147.2384521048894,233.41042530082575,607.7736588200663
Mantos Blancos,53.81679307452055,50.456027182668116,52.66027420598099,41.962255017448406,357.24882343775016,291.95137515182927,412.9235505588723,412.5522287373199,737.9749722580683,954.352735946152,1045.373642611702,1140.6536452256705,1508.4930388327537
Mantos de la Luna,154.94381137263406,82.37394696307574,83.20090394882045,142.10987008618721,241.72923759785368,176.02169032942467,524.9398166911473,524.7021244705072,850.04481855769,1067.00799869204,1158.418067247319,1253.6977757799466,1619.734136210023
Mantoverde,311.5309388756605,384.7691111835719,384.8643367952774,323.5792110820769,706.1770900401901,640.4445552482593,77.09064976010443,75.7634302804072,391.51714760567114,606.1813650600881,696.5944039032278,791.8069146298357,1161.7589744573656
Ministro Hales,219.77905981822803,174.10108828156137,176.83765492816275,207.68437968645512,273.1116635769016,221.5560979235796,556.7120052148397,556.0096758339512,877.2651191452011,1090.381019292484,1179.6288128364158,1274.4653826445424,1646.5396565223427
Quebrada Blanca,349.37671394708184,285.6952036769421,287.49930537593036,336.21744401086386,165.0641520925822,148.05746044167185,704.8839915338444,704.2941673828996,1027.4982839675656,1241.5979598642955,1331.2500722590564,1426.2147472836905,1797.5716769267028
Radomiro Tomic,234.05636314236028,185.18811480532287,187.81643316942194,221.735113737835,259.8985905262559,210.48973697504806,573.6541926880632,572.9611536879769,894.3764811940877,1107.5433666688987,1196.8041073263753,1291.6435538831088,1663.6977882144013
Salvador,289.7748473825717,359.6646195685568,360.4002308531687,300.00959598850176,673.2266394242047,608.6261511869626,156.2861040079255,154.68557949678444,448.8581403368979,657.9110372928224,746.1180217310804,840.6536505946052,1213.9105511406597
Sierra Gorda,152.24687315484042,114.1873092935915,117.16632561110299,140.43659858645105,304.9817778480288,245.1085192177609,493.33690385308927,492.7226956514567,815.8393014576369,1030.2218772843205,1120.1235594294474,1215.1807267990048,1586.0621559848555
Spence,164.02669376463464,125.37985608853887,128.33312029120384,152.26408374291776,301.3812665057277,242.73509184902133,502.7897214722609,502.14834968063064,824.7797902709938,1038.8422445437084,1128.580428500802,1223.5877086118232,1594.7977631681554
Tres Valles SX-EW plant,888.6803195204686,962.1208647516825,961.944804453003,901.2068869355503,1284.5839261187198,1218.649255386505,519.1613237570391,519.2286680930031,200.07555271472037,50.46374084153131,120.15265446211656,213.71155868394695,588.2256883444389
Zaldívar SX-EW plant,148.63642305017956,184.18860448549756,186.48257144290176,148.51861027603232,457.5142093737219,396.22341220102487,365.08307345886016,364.1125694510771,678.9704842560988,889.9509426596479,978.4409576159101,1073.0179778535494,1446.0795789644305
